time(s)	nodeIp	srcIp	dstIp	srcLink	dstLink
11.5593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.5793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.5993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.6193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.6393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.6593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.6793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.6993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.7193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.7393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.7593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.7793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.7993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.8193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.8393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.8593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.8793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.8993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.9193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.9393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.9593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.9793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
11.9993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.0193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.0393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.0593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.0793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.0993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.1193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.1393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.1593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.1793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.1993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.2193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.2393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.2593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.2793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.2993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.3193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.3393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.3593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.3793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.3993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.4193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.4393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.4593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.4793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.4993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.5193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.5393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.5593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.5793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.5993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.6193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.6393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.6593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.6793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.6993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.7193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.7393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.7593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.7793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.7993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.8193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.8393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.8593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.8793	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.8993	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.9193	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.9393	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
12.9593	7.0.0.2	1.0.0.2	7.0.0.3	DL	SL
