Tx Time(s)	Rx Time(s)	Latency(s)	Source Address
11.9988	12.0041	0.00526118	04-07-01:00:00:02:01:c0:00
12.0188	12.0241	0.00526118	04-07-01:00:00:02:01:c0:00
12.0388	12.0441	0.00526118	04-07-01:00:00:02:01:c0:00
12.0588	12.0641	0.00526118	04-07-01:00:00:02:01:c0:00
12.0788	12.0841	0.00526118	04-07-01:00:00:02:01:c0:00
12.0988	12.1041	0.00526118	04-07-01:00:00:02:01:c0:00
12.1188	12.1241	0.00526118	04-07-01:00:00:02:01:c0:00
12.1388	12.1416	0.00276118	04-07-01:00:00:02:01:c0:00
12.1588	12.1616	0.00276118	04-07-01:00:00:02:01:c0:00
12.1788	12.1816	0.00276118	04-07-01:00:00:02:01:c0:00
12.1988	12.2016	0.00276118	04-07-01:00:00:02:01:c0:00
12.2188	12.2216	0.00276118	04-07-01:00:00:02:01:c0:00
12.2388	12.2416	0.00276118	04-07-01:00:00:02:01:c0:00
12.2588	12.2616	0.00276118	04-07-01:00:00:02:01:c0:00
12.2788	12.2816	0.00276118	04-07-01:00:00:02:01:c0:00
12.2988	12.3016	0.00276118	04-07-01:00:00:02:01:c0:00
12.3188	12.3216	0.00276118	04-07-01:00:00:02:01:c0:00
12.3388	12.3416	0.00276118	04-07-01:00:00:02:01:c0:00
12.3588	12.3616	0.00276118	04-07-01:00:00:02:01:c0:00
12.3788	12.3816	0.00276118	04-07-01:00:00:02:01:c0:00
12.3988	12.4016	0.00276118	04-07-01:00:00:02:01:c0:00
12.4188	12.4216	0.00276118	04-07-01:00:00:02:01:c0:00
12.4388	12.4416	0.00276118	04-07-01:00:00:02:01:c0:00
12.4588	12.4616	0.00276118	04-07-01:00:00:02:01:c0:00
12.4788	12.4816	0.00276118	04-07-01:00:00:02:01:c0:00
12.4988	12.5016	0.00276118	04-07-01:00:00:02:01:c0:00
12.5188	12.5216	0.00276118	04-07-01:00:00:02:01:c0:00
12.5388	12.5416	0.00276118	04-07-01:00:00:02:01:c0:00
12.5588	12.5616	0.00276118	04-07-01:00:00:02:01:c0:00
12.5788	12.5816	0.00276118	04-07-01:00:00:02:01:c0:00
12.5988	12.6016	0.00276118	04-07-01:00:00:02:01:c0:00
12.6188	12.6216	0.00276118	04-07-01:00:00:02:01:c0:00
12.6388	12.6416	0.00276118	04-07-01:00:00:02:01:c0:00
12.6588	12.6616	0.00276118	04-07-01:00:00:02:01:c0:00
12.6788	12.6816	0.00276118	04-07-01:00:00:02:01:c0:00
12.6988	12.7016	0.00276118	04-07-01:00:00:02:01:c0:00
12.7188	12.7216	0.00276118	04-07-01:00:00:02:01:c0:00
12.7388	12.7416	0.00276118	04-07-01:00:00:02:01:c0:00
12.7588	12.7616	0.00276118	04-07-01:00:00:02:01:c0:00
