Tx Time(s)	Rx Time(s)	Latency(ms)
7.94862	7.96883	20.2135
7.96862	7.98883	20.2135
7.98862	8.00883	20.2135
8.00862	8.02883	20.2135
8.02862	8.04883	20.2135
8.04862	8.06883	20.2135
8.06862	8.08883	20.2135
8.08862	8.10883	20.2135
8.10862	8.12883	20.2135
8.12862	8.14883	20.2135
8.14862	8.16883	20.2135
8.16862	8.18883	20.2135
8.18862	8.20883	20.2135
8.20862	8.22883	20.2135
8.22862	8.24883	20.2135
8.24862	8.26883	20.2135
8.26862	8.28883	20.2135
8.28862	8.30883	20.2135
8.30862	8.32883	20.2135
8.32862	8.34883	20.2135
8.34862	8.36883	20.2135
8.36862	8.38883	20.2135
8.38862	8.40883	20.2135
8.40862	8.42883	20.2135
8.42862	8.44883	20.2135
8.44862	8.46883	20.2135
8.46862	8.48883	20.2135
8.48862	8.50883	20.2135
8.50862	8.52883	20.2135
8.52862	8.54883	20.2135
8.54862	8.56883	20.2135
8.56862	8.58883	20.2135
8.58862	8.60883	20.2135
8.60862	8.62883	20.2135
8.62862	8.64883	20.2135
8.64862	8.66883	20.2135
8.66862	8.68883	20.2135
8.68862	8.70883	20.2135
8.70862	8.72883	20.2135
8.72862	8.74883	20.2135
8.74862	8.76883	20.2135
8.76862	8.78883	20.2135
8.78862	8.80883	20.2135
8.80862	8.82883	20.2135
8.82862	8.84883	20.2135
8.84862	8.86883	20.2135
8.86862	8.88883	20.2135
8.88862	8.90883	20.2135
8.90862	8.92883	20.2135
8.92862	8.94883	20.2135
8.94862	8.96883	20.2135
8.96862	8.98883	20.2135
8.98862	9.00883	20.2135
9.00862	9.02883	20.2135
9.02862	9.04883	20.2135
9.04862	9.06883	20.2135
9.06862	9.08883	20.2135
9.08862	9.10883	20.2135
10.4286	10.5371	108.464
10.4486	10.5371	88.4635
10.4686	10.5371	68.4635
10.4886	10.5371	48.4635
10.5086	10.5371	28.4635
10.5286	10.5371	8.46355
10.5486	10.5571	8.46355
10.5686	10.5771	8.46355
10.5886	10.5971	8.46355
10.6086	10.6171	8.46355
10.6286	10.6371	8.46355
10.6486	10.6571	8.46355
10.6686	10.6771	8.46355
10.6886	10.6971	8.46355
10.7086	10.7171	8.46355
10.7286	10.7371	8.46355
10.7486	10.7571	8.46355
10.7686	10.7771	8.46355
10.7886	10.7971	8.46355
10.8086	10.8171	8.46355
10.8286	10.8371	8.46355
10.8486	10.8571	8.46355
10.8686	10.8771	8.46355
10.8886	10.8971	8.46355
10.9086	10.9171	8.46355
10.9286	10.9371	8.46355
10.9486	10.9571	8.46355
10.9686	10.9771	8.46355
10.9886	10.9971	8.46355
11.0086	11.0171	8.46355
11.0286	11.0371	8.46355
11.0486	11.0571	8.46355
11.0686	11.0771	8.46355
11.0886	11.0971	8.46355
11.1086	11.1171	8.46355
11.1286	11.1371	8.46355
11.1486	11.1571	8.46355
11.1686	11.1771	8.46355
11.1886	11.1971	8.46355
11.2086	11.2171	8.46355
11.2286	11.2371	8.46355
11.2486	11.2571	8.46355
11.2686	11.2771	8.46355
11.2886	11.2971	8.46355
11.3086	11.3171	8.46355
11.3286	11.3371	8.46355
11.3486	11.3571	8.46355
11.3686	11.3771	8.46355
11.3886	11.3971	8.46355
11.4086	11.4171	8.46355
11.4286	11.4371	8.46355
11.4486	11.4571	8.46355
11.4686	11.4771	8.46355
11.4886	11.4971	8.46355
11.5086	11.5171	8.46355
11.5286	11.5371	8.46355
11.5486	11.5571	8.46355
11.5686	11.5771	8.46355
11.5886	11.5971	8.46355
11.6086	11.6171	8.46355
11.6286	11.6501	21.4635
11.6486	11.6748	26.2135
11.6686	11.6901	21.4635
11.6886	11.7101	21.4635
11.7086	11.7348	26.2135
11.7286	11.7548	26.2135
11.7486	11.7748	26.2135
11.7686	11.7948	26.2135
11.7886	11.8101	21.4635
11.8086	11.8348	26.2135
11.8286	11.8548	26.2135
11.8486	11.8701	21.4635
11.8686	11.8901	21.4635
11.8886	11.9148	26.2135
11.9086	11.9301	21.4635
11.9286	11.9548	26.2135
11.9486	11.9748	26.2135
11.9686	11.9948	26.2135
11.9886	12.0148	26.2135
12.0086	12.0301	21.4635
12.0286	12.0501	21.4635
12.0486	12.0701	21.4635
12.0686	12.0901	21.4635
12.0886	12.1148	26.2135
12.1086	12.1348	26.2135
12.1286	12.1501	21.4635
12.1486	12.1701	21.4635
12.1886	12.3148	126.214
12.2086	12.3148	106.214
12.2286	12.3148	86.2135
12.2486	12.3148	66.2135
12.2686	12.3148	46.2135
12.2886	12.3148	26.2135
12.3086	12.3348	26.2135
12.3286	12.3501	21.4635
12.3486	12.3748	26.2135
12.3686	12.3948	26.2135
12.3886	12.4101	21.4635
12.4086	12.4348	26.2135
12.4286	12.4548	26.2135
12.4486	12.4748	26.2135
12.4686	12.4948	26.2135
12.4886	12.5101	21.4635
12.5086	12.5348	26.2135
12.5286	12.5548	26.2135
12.5486	12.5748	26.2135
12.5686	12.5948	26.2135
12.5886	12.6101	21.4635
12.6086	12.6301	21.4635
12.6286	12.6548	26.2135
12.6486	12.6748	26.2135
12.6686	12.6948	26.2135
12.6886	12.7101	21.4635
12.7086	12.7348	26.2135
12.7286	12.7501	21.4635
12.7486	12.7701	21.4635
12.7686	12.7948	26.2135
12.7886	12.8148	26.2135
12.8086	12.8348	26.2135
12.8286	12.8396	10.9635
12.8486	12.8601	11.4635
12.8686	12.8801	11.4635
12.8886	12.8996	10.9635
12.9086	12.9196	10.9635
12.9286	12.9401	11.4635
12.9486	12.9601	11.4635
12.9686	12.9796	10.9635
12.9886	13.0001	11.4635
13.0086	13.0196	10.9635
13.0286	13.0401	11.4635
13.0486	13.0596	10.9635
13.0686	13.0801	11.4635
13.0886	13.0996	10.9635
13.1086	13.1196	10.9635
13.1286	13.1401	11.4635
13.1486	13.1601	11.4635
13.1686	13.1801	11.4635
13.1886	13.1996	10.9635
13.2086	13.2201	11.4635
13.2286	13.2401	11.4635
13.2486	13.2596	10.9635
13.2686	13.2801	11.4635
13.2886	13.3001	11.4635
13.3086	13.3201	11.4635
13.3286	13.3396	10.9635
13.3486	13.3601	11.4635
13.3686	13.3801	11.4635
13.3886	13.4001	11.4635
13.4086	13.4201	11.4635
13.4286	13.4401	11.4635
13.4486	13.4596	10.9635
13.4686	13.4796	10.9635
13.4886	13.5001	11.4635
13.5086	13.5201	11.4635
13.5286	13.5401	11.4635
13.5486	13.5601	11.4635
13.5686	13.5801	11.4635
13.5886	13.6001	11.4635
13.6086	13.6201	11.4635
13.6286	13.6396	10.9635
13.6486	13.6601	11.4635
13.6686	13.6801	11.4635
13.6886	13.7001	11.4635
13.7086	13.7201	11.4635
13.7286	13.7396	10.9635
13.7486	13.7601	11.4635
13.7686	13.7801	11.4635
13.7886	13.7996	10.9635
13.8086	13.8201	11.4635
13.8286	13.8401	11.4635
13.8486	13.8596	10.9635
13.8686	13.8796	10.9635
13.8886	13.8996	10.9635
13.9086	13.9201	11.4635
13.9286	13.9396	10.9635
13.9486	13.9601	11.4635
13.9686	13.9801	11.4635
13.9886	13.9996	10.9635
5.02862	5.03233	3.71355
5.04862	5.05233	3.71355
5.06862	5.07233	3.71355
5.08862	5.09233	3.71355
5.10862	5.11233	3.71355
5.12862	5.13233	3.71355
5.14862	5.15233	3.71355
5.16862	5.17233	3.71355
5.18862	5.19233	3.71355
5.20862	5.21233	3.71355
5.22862	5.23233	3.71355
5.24862	5.25233	3.71355
5.26862	5.27233	3.71355
5.28862	5.29233	3.71355
5.30862	5.31233	3.71355
5.32862	5.33233	3.71355
5.34862	5.35233	3.71355
5.36862	5.37233	3.71355
5.38862	5.39233	3.71355
5.40862	5.41233	3.71355
5.42862	5.43233	3.71355
5.44862	5.45233	3.71355
5.46862	5.47233	3.71355
5.48862	5.49233	3.71355
5.50862	5.51233	3.71355
5.52862	5.53233	3.71355
5.54862	5.55233	3.71355
5.56862	5.57233	3.71355
5.58862	5.59233	3.71355
5.60862	5.61233	3.71355
5.62862	5.63233	3.71355
5.64862	5.65233	3.71355
5.66862	5.67233	3.71355
5.68862	5.69233	3.71355
5.70862	5.71233	3.71355
5.72862	5.73233	3.71355
5.74862	5.75233	3.71355
5.76862	5.77233	3.71355
5.78862	5.79233	3.71355
5.80862	5.81233	3.71355
5.82862	5.83233	3.71355
5.84862	5.85233	3.71355
5.86862	5.87233	3.71355
5.88862	5.89233	3.71355
5.90862	5.91233	3.71355
5.92862	5.93233	3.71355
5.94862	5.95233	3.71355
5.96862	5.97233	3.71355
5.98862	5.99233	3.71355
6.00862	6.01233	3.71355
6.02862	6.03233	3.71355
6.04862	6.05233	3.71355
6.06862	6.07233	3.71355
6.08862	6.09233	3.71355
6.10862	6.11233	3.71355
6.12862	6.13233	3.71355
6.14862	6.15233	3.71355
6.16862	6.17233	3.71355
6.18862	6.19233	3.71355
6.20862	6.21233	3.71355
6.22862	6.23233	3.71355
6.24862	6.25233	3.71355
6.26862	6.27233	3.71355
6.28862	6.29233	3.71355
6.30862	6.31233	3.71355
6.32862	6.33233	3.71355
6.34862	6.35233	3.71355
6.36862	6.37233	3.71355
6.38862	6.39233	3.71355
6.40862	6.42408	15.4635
6.42862	6.44408	15.4635
6.44862	6.46408	15.4635
6.46862	6.48408	15.4635
6.48862	6.50408	15.4635
6.50862	6.52408	15.4635
6.52862	6.54408	15.4635
6.54862	6.56408	15.4635
6.56862	6.58408	15.4635
6.58862	6.60408	15.4635
6.60862	6.62408	15.4635
6.62862	6.64408	15.4635
6.64862	6.66408	15.4635
6.66862	6.68408	15.4635
